Tag,Nickname,Country,pfp,Illust,original_credit,Original_Message,Translation
JexTexSSB#7742,Jex,United-States,1fnZ_q4X5-g_CaKjqNr3NJigImJgjTsFm.png,,,La Lion~ La Lion~ Botan-chan! You are wonderful and amazing! You are very cute and your streams are so much fun. Please continue to make great streams and make everyone happy. Poi~,ららーいおん〜、ららーいおん〜。ぼたんちゃんはワンダフルでアメージングです！ぼたんちゃんはかわいくて配信はすごく楽しいです。これからも素敵な配信でみんなをハッピーにし続けていってください。ポイ〜
JackezzPanzer#9087/@JackezzP,JackezzPanzer,Philippines,1kby44DTRuNoPyVlLopG9y6BhY7eQ2SkV.png,,,"Hello Botan, Thank you for being able to make 2020 Amazing along with everyone else from Hololive. Never really got to experience a fun year without seeing the fun things you and others had done for the past months. Keep up the Best Work and Stay Healthy! From the PH Grassfields.",ハロー、ぼたんちゃん。ホロライブのみんなと一緒に、2020年を素晴らしい年にしてくれてありがとうございます。みんなが見せてくれた楽しい出来事がなければ、こんなに楽しい年になることもなかったでしょう。これからもがんばって、そして健康でいてください！ PH Grassfields より
Lordgeorge16#4656,George,United-States,1hhBPkkGivsjQSpmFAEEWojwOR4ARjJrh.png,,,Congratulations on your first anniversary with Hololive! You are my all-time favorite and your streams always cheer me up! I love you Shishiron and I'm proud to be a member of the SSRB!,ホロライブのメンバーとしての1周年記念、おめでとうございます！ししろんは一番の推しメンです。いつも元気をもらっています！愛してるよ、ししろん。SSRBの一員でいられることに誇りを持っています！
@1MiiSan,mii,United-States,1zRvZf4Lq-0UP_LHirEcLnkGiCkV4tssY.png,,,"Happy Anniversary Botan! I really enjoy how you always have fun no matter what you are streaming. Whether it’s games or a little more singing, i’m looking forward to spending another year with you!",ぼたんちゃん、1周年おめでとう！どんな配信でもいつも面白そうに配信してくれているのを見るのがとても楽しいです。ゲームでも歌枠（もうちょっとやってくれたら嬉しい）でも、またもう1年一緒に過ごしていけるのを楽しみにしています！
@kaerukyuubi,カエル,Indonesia,1cEnOGofaJFvgp751Kwn2cuS4W-RkVopo.jpg,,,"Hello, Bossan! Your existence has changed me for this whole year! Your debut was the one who got me into Hololive, and i'm sure i'm forever thankful for that🥰Let's enjoy another year together, love you so much! (I hope by then you already reach 1 M subs!)",ハロー、ぼっさん！あなたの存在でこの1年は全く違うものになりました！ぼっさんのデビュー配信がホロライブにハマるきっかけだったので、ぼっさんには一生感謝し続けます🥰 次の1年もまた楽しんでいきましょう！愛してるよ！（その時までには登録者100万人突破してるといいですね！）
[SSRB] Zaphkiel#6492 / @otakutwitchrus,ZAPHKIEL,Russia,1D-CZ__qGbHTlotm3ytebh1eCGer9pddw.png,,,"Привет Ботан. Я смотрю тебя с декабря 2020 года. Меня привлекли клипы с тобой. И за такое долгое время я понял, что людям, и мне так же, нравится в тебе. У тебя красивый смех. Ты всегда спокойная, не кричишь. Ты любишь игры, разбираешься в компьютерах. Твои стримы всегда интересны. Спасибо за все!",ハーイ、ぼたんちゃん。2020年の12月から見てます。切り抜き動画を見てからぼたんちゃんに興味を持つようになりました。その時からこれまでずっと見てきて、自分自身も含めたみんなが、ぼたんちゃんのどこに惹かれたのかがわかった気がします。あなたの笑い声は美しく、いつも冷静で声を荒らげることもありません。ゲームが大好きでPCのことにも詳しいです。ぼたんちゃんの配信はいつも面白いです。いつもありがとう！
bearscountry1#2094,Josh,United-States,Bodan.png,,,"Wow, can't believe it has already been a year... Time flies by when enjoying something fun. Can't wait to see you play more games and become an even more goddess at FPS!!!! CONGRATULATIONS ON 1 YEAR!!!!! POI",ワオ、もう1年経ってしまったなんて、信じられない。。。楽しいことをしているとあっという間に時間が過ぎてしまいますね。これからもたくさんのゲームをプレイして、FPSで(女)神プレイを見せてもらえるのを楽しみにしています!!!! 1周年おめでとうございます!!!!! ポイっ
M.#9601,M.,Italy,Bodan.png,,,Happy Anniversary Shishiron! I love your smile and how good you are with any games you tackle! I always look forward to your streams! Happy to be an SSRB!,1周年おめでとうございます！ぼたんちゃんの笑顔、そしてどんなゲームに挑戦するときにも上手なプレイを見せてくれるところが大好きです！いつも配信楽しみにしています！SSRBでいられてよかった！
Munmai#4086 / @munmai_,Munmai,Thailand,1zh7xOyAIgMeKfQ3eJ2Tfn-7rs_nBQmK2.png,[HLL] Project_Fanclub - munmai_.png,,I wish Shishiro Botan be happy and healthy. I will always support you.,獅白ぼたんさんが元気で幸せでありますように。いつも応援してますよ。
3秒で墜ちる偵察機♌(@SR_71D),3秒で墜ちる偵察機,Japan,1a2NJCV514t13ItKGPApbgiBUl8kECwt8.png,,,1st Anniversary おめでとうございます！次の1年もしっかり付いてくので楽しく頑張ってもろて！,
